pair,seed,relays,width,height,pso_total_evaluations,naive_total_evaluations,common_budget,pso_final_fitness,naive_final_fitness,pso_best_common_budget,naive_best_common_budget,delta_common_budget,pso_final_best_first_eval,naive_final_best_first_eval,pso_final_time,naive_final_time
93,37283284,3,500.0,500.0,420,400,400,0.616667,0.575,0.616667,0.575,0.04166700000000001,220,237,638.757,530.229
94,37283284,3,600.0,600.0,420,400,400,0.447619,0.419048,0.447619,0.419048,0.028571000000000013,375,333,659.064,617.549
95,37283284,3,700.0,700.0,420,400,400,0.377083,0.31875,0.377083,0.31875,0.058333000000000024,371,160,810.815,679.835
96,1555680,3,350.0,350.0,420,400,400,0.9375,0.916667,0.9375,0.916667,0.02083299999999999,350,322,456.597,397.96
97,1555680,3,400.0,400.0,420,400,400,0.846667,0.84,0.846667,0.84,0.0066669999999999785,344,276,605.828,487.274
98,1555680,3,500.0,500.0,420,400,400,0.594444,0.558333,0.594444,0.558333,0.036111000000000004,188,83,661.572,543.555
99,1555680,3,600.0,600.0,420,400,400,0.428571,0.37619,0.428571,0.37619,0.052380999999999955,299,204,711.653,582.696
100,1555680,3,700.0,700.0,420,400,400,0.383333,0.327083,0.383333,0.327083,0.05624999999999997,226,371,852.328,679.639
101,60466,3,350.0,350.0,420,400,400,0.975,0.95,0.975,0.95,0.025000000000000022,344,280,460.612,390.592
102,60466,3,400.0,400.0,420,400,400,0.856667,0.813333,0.856667,0.813333,0.043333999999999984,394,357,586.724,491.333
103,60466,3,500.0,500.0,420,400,400,0.65,0.597222,0.65,0.597222,0.05277799999999999,387,394,629.435,545.141
104,60466,3,600.0,600.0,420,400,400,0.459524,0.457143,0.459524,0.457143,0.0023809999999999665,287,129,734.43,615.714
105,60466,3,700.0,700.0,420,400,400,0.345833,0.358333,0.341667,0.358333,-0.016666000000000014,402,201,993.962,902.732
