relays,width,height,nodes,network_config,evaluations,pairs,mean_pso_pdr,mean_naive_pdr,mean_delta_pdr,median_delta_pdr,pso_wins,ties,naive_wins,naive_failed_pairs
2,500.0,500.0,,1,360,12,0.46759266666666666,0.45069441666666665,0.016898249999999993,0.019444000000000017,10,0,2,0
2,500.0,500.0,,1,380,12,0.46759266666666666,0.45069441666666665,0.016898249999999993,0.019444000000000017,10,0,2,0
2,500.0,500.0,,1,400,12,0.46759266666666666,0.45069441666666665,0.016898249999999993,0.019444000000000017,10,0,2,0
2,500.0,500.0,,2,20,12,0.29837966666666665,0.29837966666666665,0.0,0.0,0,12,0,0
2,500.0,500.0,,2,40,12,0.31249991666666666,0.3101851666666667,0.0023147500000000043,0.0013890000000000013,6,3,3,0
2,500.0,500.0,,2,60,12,0.319676,0.31388883333333334,0.005787166666666658,0.004166999999999976,8,2,2,0
2,500.0,500.0,,2,80,12,0.32592608333333334,0.32222225,0.003703833333333332,0.011111500000000024,9,1,2,0
2,500.0,500.0,,2,100,12,0.3333335,0.32222225,0.011111249999999998,0.0152785,9,1,2,0
2,500.0,500.0,,2,120,12,0.33958341666666664,0.3252315,0.014351916666666664,0.019444499999999976,10,1,1,0
2,500.0,500.0,,2,140,12,0.34027775,0.32916675,0.011111000000000001,0.01111100000000001,9,2,1,0
2,500.0,500.0,,2,160,12,0.3418980833333333,0.33009275,0.011805333333333334,0.013888500000000026,10,1,1,0
2,500.0,500.0,,2,180,12,0.34444433333333335,0.33078725,0.013657083333333334,0.0166665,10,1,1,0
2,500.0,500.0,,2,200,12,0.34583325,0.33171316666666667,0.014120083333333339,0.016666000000000014,11,0,1,0
2,500.0,500.0,,2,220,12,0.34699066666666667,0.333102,0.013888666666666674,0.0166665,10,1,1,0
2,500.0,500.0,,2,240,12,0.34837958333333335,0.333102,0.01527758333333334,0.016667000000000015,10,1,1,0
2,500.0,500.0,,2,260,12,0.35277766666666666,0.33425941666666664,0.01851825000000001,0.018055500000000002,11,0,1,0
2,500.0,500.0,,2,280,12,0.35347208333333335,0.33425941666666664,0.019212666666666673,0.019444499999999976,11,0,1,0
2,500.0,500.0,,2,300,12,0.3557869166666667,0.33495383333333334,0.02083308333333334,0.019444499999999976,11,0,1,0
