pair,method,file,seed,relays,width,height,iteration,evaluation,best_fitness
6,PSO,2026-09-23_01-43-35.log,806219,2,500.0,500.0,4,88,0.405556
6,PSO,2026-09-23_01-43-35.log,806219,2,500.0,500.0,11,239,0.411111
6,PSO,2026-09-23_01-43-35.log,806219,2,500.0,500.0,12,249,0.416667
6,PSO,2026-09-23_01-43-35.log,806219,2,500.0,500.0,14,294,0.422222
6,PSO,2026-09-23_01-43-35.log,806219,2,500.0,500.0,15,314,0.430556
6,Naive,2026-09-23_01-52-32.log,,97,,,0,1,0.2
6,Naive,2026-09-23_01-52-32.log,,97,,,1,2,0.3
6,Naive,2026-09-23_01-52-32.log,,97,,,2,3,0.325
6,Naive,2026-09-23_01-52-32.log,,97,,,4,5,0.347222
6,Naive,2026-09-23_01-52-32.log,,97,,,26,27,0.352778
6,Naive,2026-09-23_01-52-32.log,,97,,,37,38,0.369444
6,Naive,2026-09-23_01-52-32.log,,97,,,40,41,0.397222
6,Naive,2026-09-23_01-52-32.log,,97,,,141,142,0.408333
6,Naive,2026-09-23_01-52-32.log,,97,,,192,193,0.416667
7,PSO,2026-09-23_02-00-50.log,76126870,2,500.0,500.0,0,1,0.408333
7,PSO,2026-09-23_02-00-50.log,76126870,2,500.0,500.0,1,34,0.447222
7,PSO,2026-09-23_02-00-50.log,76126870,2,500.0,500.0,2,60,0.477778
7,Naive,2026-09-23_02-10-19.log,,124,,,0,1,0.408333
7,Naive,2026-09-23_02-10-19.log,,124,,,155,156,0.411111
7,Naive,2026-09-23_02-10-19.log,,124,,,164,165,0.416667
7,Naive,2026-09-23_02-10-19.log,,124,,,227,228,0.452778
8,PSO,2026-09-23_02-18-21.log,74509218,2,500.0,500.0,0,1,0.430556
8,PSO,2026-09-23_02-18-21.log,74509218,2,500.0,500.0,2,42,0.433333
8,PSO,2026-09-23_02-18-21.log,74509218,2,500.0,500.0,3,61,0.438889
8,PSO,2026-09-23_02-18-21.log,74509218,2,500.0,500.0,3,74,0.444444
8,PSO,2026-09-23_02-18-21.log,74509218,2,500.0,500.0,3,75,0.447222
8,PSO,2026-09-23_02-18-21.log,74509218,2,500.0,500.0,9,182,0.45
8,PSO,2026-09-23_02-18-21.log,74509218,2,500.0,500.0,15,310,0.455556
8,PSO,2026-09-23_02-18-21.log,74509218,2,500.0,500.0,17,351,0.463889
8,Naive,2026-09-23_02-27-51.log,,232,,,0,1,0.430556
8,Naive,2026-09-23_02-27-51.log,,232,,,20,21,0.447222
8,Naive,2026-09-23_02-27-51.log,,232,,,50,51,0.458333
9,PSO,2026-09-23_02-36-12.log,1664576,2,500.0,500.0,0,1,0.225
9,PSO,2026-09-23_02-36-12.log,1664576,2,500.0,500.0,0,2,0.286111
9,PSO,2026-09-23_02-36-12.log,1664576,2,500.0,500.0,0,3,0.35
9,PSO,2026-09-23_02-36-12.log,1664576,2,500.0,500.0,0,9,0.444444
9,PSO,2026-09-23_02-36-12.log,1664576,2,500.0,500.0,6,125,0.447222
9,PSO,2026-09-23_02-36-12.log,1664576,2,500.0,500.0,6,140,0.455556
9,PSO,2026-09-23_02-36-12.log,1664576,2,500.0,500.0,8,175,0.458333
9,PSO,2026-09-23_02-36-12.log,1664576,2,500.0,500.0,9,195,0.466667
9,Naive,2026-09-23_02-46-09.log,,106,,,0,1,0.225
9,Naive,2026-09-23_02-46-09.log,,106,,,1,2,0.286111
9,Naive,2026-09-23_02-46-09.log,,106,,,2,3,0.35
9,Naive,2026-09-23_02-46-09.log,,106,,,8,9,0.444444
10,PSO,2026-09-23_02-54-24.log,40063030,2,500.0,500.0,0,1,0.105556
10,PSO,2026-09-23_02-54-24.log,40063030,2,500.0,500.0,0,2,0.283333
10,PSO,2026-09-23_02-54-24.log,40063030,2,500.0,500.0,0,3,0.286111
10,PSO,2026-09-23_02-54-24.log,40063030,2,500.0,500.0,0,4,0.313889
10,PSO,2026-09-23_02-54-24.log,40063030,2,500.0,500.0,0,7,0.316667
10,PSO,2026-09-23_02-54-24.log,40063030,2,500.0,500.0,0,11,0.397222
10,PSO,2026-09-23_02-54-24.log,40063030,2,500.0,500.0,0,17,0.405556
10,PSO,2026-09-23_02-54-24.log,40063030,2,500.0,500.0,1,25,0.427778
10,PSO,2026-09-23_02-54-24.log,40063030,2,500.0,500.0,2,46,0.433333
10,PSO,2026-09-23_02-54-24.log,40063030,2,500.0,500.0,2,55,0.438889
10,PSO,2026-09-23_02-54-24.log,40063030,2,500.0,500.0,4,84,0.461111
10,PSO,2026-09-23_02-54-24.log,40063030,2,500.0,500.0,6,131,0.472222
10,PSO,2026-09-23_02-54-24.log,40063030,2,500.0,500.0,10,202,0.475
10,PSO,2026-09-23_02-54-24.log,40063030,2,500.0,500.0,14,296,0.480556
