pair,seed,relays,width,height,nodes,network_config,evaluations,pso_best_pdr,naive_best_pdr,delta_pdr,naive_failed,naive_failed_before_checkpoint,naive_last_logged_iteration
15,67358,2,500.0,500.0,,2,340,0.330556,0.344444,-0.013887999999999956,False,False,202
15,67358,2,500.0,500.0,,2,360,0.336111,0.344444,-0.00833299999999998,False,False,202
15,67358,2,500.0,500.0,,2,380,0.336111,0.344444,-0.00833299999999998,False,False,202
15,67358,2,500.0,500.0,,2,400,0.336111,0.344444,-0.00833299999999998,False,False,202
16,747263,2,500.0,500.0,,2,20,0.297222,0.297222,0.0,False,False,72
16,747263,2,500.0,500.0,,2,40,0.297222,0.297222,0.0,False,False,72
16,747263,2,500.0,500.0,,2,60,0.297222,0.297222,0.0,False,False,72
16,747263,2,500.0,500.0,,2,80,0.302778,0.372222,-0.069444,False,False,72
16,747263,2,500.0,500.0,,2,100,0.341667,0.372222,-0.030555,False,False,72
16,747263,2,500.0,500.0,,2,120,0.380556,0.372222,0.008334000000000008,False,False,72
16,747263,2,500.0,500.0,,2,140,0.383333,0.372222,0.011110999999999982,False,False,72
16,747263,2,500.0,500.0,,2,160,0.383333,0.372222,0.011110999999999982,False,False,72
